"league_id","league_name","season","league_type","franchise_count","qb_type","idp","scoring_flags","best_ball","salary_cap","player_copies","years_active","qb_count","roster_size","league_depth","prev_league_ids"
"784445378991943680","Northeast Ohio Young Studs  ",2022,"dynasty",12,"1QB",TRUE,"1_ppr",FALSE,FALSE,1,"2021-2022","1",26,312,"691334074987532288"
"868909447458795520","Aldo's ReDraft League",2022,"redraft",12,"2QB/SF",FALSE,"1_ppr, 0.5TEPrem",FALSE,FALSE,1,"2022-2022","1-2",21,252,""
"841025459046170624","NFL Franchise",2022,"dynasty",32,"1QB",TRUE,"1_ppr, 1TEPrem, PP1D",FALSE,FALSE,1,"2022-2022","0-1",40,1280,""
"789038916010369024","MID Season ($20, Empire)",2022,"dynasty",12,"2QB/SF",TRUE,"1_ppr, 0.5TEPrem",FALSE,FALSE,1,"2021-2022","2",36,432,"768507387878510592"
"788365230936875008","Dirty Dozen Dynasty",2022,"dynasty",12,"2QB/SF",FALSE,"1_ppr, 1TEPrem",FALSE,FALSE,1,"2021-2022","1-2",31,372,"768807321467015168"
"785277963976421376","$100 La Liga IDP Dynasty",2022,"dynasty",16,"2QB/SF",TRUE,"1_ppr",FALSE,FALSE,1,"2021-2022","1-2",42,672,"651615031271866368"
"785004038340083712","Classical Gas Dynasty League",2022,"dynasty",12,"1QB",FALSE,"1_ppr, PP1D",FALSE,FALSE,1,"2021-2022","1",25,300,"658483448117288960"
"849351890889203712","[Taylor's TriFlex Tourney]",2022,"dynasty",12,"2QB/SF",FALSE,"0.5_ppr, 1.25TEPrem, PP1D",FALSE,FALSE,1,"2022-2022","0-3",36,432,""
"787528512713166848","Randy Moss Football",2022,"dynasty",12,"1QB",FALSE,"1_ppr",FALSE,FALSE,1,"2021-2022","1",33,396,"674463369100611584"
"787539122171523072","Jeremy Shockey Football",2022,"dynasty",12,"1QB",FALSE,"1_ppr",FALSE,FALSE,1,"2021-2022","1",44,528,"734895332823007232"
"819682993139453952","The Super Fun League ",2022,"dynasty",32,"1QB",TRUE,"1_ppr, 0.5TEPrem, PP1D",FALSE,FALSE,1,"2022-2022","0-1",35,1120,""
"787540996362756096","Isaac Bruce Football",2022,"dynasty",12,"1QB",FALSE,"1_ppr, 0.5TEPrem",FALSE,FALSE,1,"2021-2022","1",33,396,"683950950200737792"
"795492992545845248","Marvin Harrison Football",2022,"dynasty",12,"1QB",FALSE,"1_ppr, 0.5TEPrem",FALSE,FALSE,1,"2022-2022","1",42,504,""
"797346649398702080","Mike Vick Football ",2022,"dynasty",12,"1QB",FALSE,"1_ppr, 0.5TEPrem",TRUE,FALSE,1,"2022-2022","1",42,504,""
"784364748878823424","The Good, the Bad and the Ugly",2022,"dynasty",12,"1QB",FALSE,"zero_ppr, PP1D",FALSE,FALSE,1,"2021-2022","1",25,300,"655861691552174080"
"784459526740041728","Eddie Lacy’s $40 China Food",2022,"dynasty",12,"2QB/SF",FALSE,"1_ppr, 0.75TEPrem",FALSE,FALSE,1,"2021-2022","1-2",24,288,"651230036023697408"
"862453262413086720","The official FFB Invitational",2022,"dynasty",16,"2QB/SF",TRUE,"1_ppr, 1TEPrem, PP1D",FALSE,FALSE,1,"2022-2022","1-2",50,800,""
"787007424975499264","Barry Sanders Football",2022,"dynasty",12,"1QB",FALSE,"1_ppr, 0.5TEPrem",TRUE,FALSE,1,"2021-2022","1",34,408,"698720136957333504"
"797138591280136192","Commonwealth Vs United States",2022,"dynasty",12,"2QB/SF",FALSE,"1_ppr, 0.5TEPrem",FALSE,FALSE,1,"2022-2022","1-2",35,420,""
"783477033849319424","Deion Sanders Football",2022,"dynasty",12,"1QB",FALSE,"1_ppr, 0.5TEPrem",FALSE,FALSE,1,"2022-2022","1",43,516,""
"782103651878547456","Bo Jackson Football",2022,"dynasty",12,"1QB",FALSE,"1_ppr",FALSE,FALSE,1,"2021-2022","1",34,408,"668949296489521152"
"836781969437212672","LaDainian Tomlinson Football ",2022,"dynasty",12,"1QB",FALSE,"1_ppr, 0.5TEPrem",TRUE,FALSE,1,"2022-2022","1",41,492,""
"787526377032273920","Jerry Rice Football",2022,"dynasty",12,"1QB",FALSE,"1_ppr",FALSE,FALSE,1,"2021-2022","1",35,420,"678378898156773376"
